winnaar ; vrije tijd ; ['game', 'jackpot', 'speler', 'loterij', 'prijs']
punt ; human interest ; ['vraag', 'presentator', 'kandidaat', 'deelnemer', 'quiz']
glas ; economie ; ['vaatwasser', 'vaat', 'reinigingsmiddel', 'servies', 'afwas']
middel ; ziekten ; ['gezondheidszorg', 'vaccin', 'fase', 'advies', 'voorraad']
licht ; wetenschap en technologie ; ['atoom', 'atoomklok', 'zon', 'experiment', 'onderzoeker']
licht ; ziekten ; ['huid', 'zon', 'bacterie', 'warmte', 'mens']
periode ; sportevenement ; ['speler', 'wedstrijd', 'seizoen', 'coach', 'ploeg']
periode ; verkiezingen ; ['president', 'staat', 'kiesman', 'stem', 'verkiezingsdag']
periode ; wetenschap en technologie ; ['soort', 'ontdekking', 'student', 'mens', 'schedel']
markt ; economie ; ['bedrijf', 'akkoord', 'koers', 'beurs', 'bank']
markt ; lifestyle ; ['bier', 'wijn', 'fruit', 'prijs', 'bos']
markt ; werk ; ['tarief', 'gevolg', 'prijs', 'deel', 'woning']
ruimte ; wetenschap en technologie ; ['straling', 'aarde', 'telescoop', 'experiment', 'crisis']
ruimte ; economische sector ; ['woning', 'huis', 'gemeente', 'grond', 'stad']
ruimte ; sociale toestand ; ['virus', 'land', 'golf', 'mens', 'boomplanter']
burger ; conflicten, oorlog en vrede ; ['kind', 'foto', 'aantal', 'luchtaanval', 'aanval']
burger ; rechterlijke macht ; ['proces', 'slachtoffer', 'jurylid', 'assisen', 'jury']
systeem ; wetenschap en technologie ; ['planeet', 'baan', 'zonnestelsel', 'exoplaneet', 'ster']
systeem ; immigratie ; ['registratie', 'mens', 'fedasil', 'slaap', 'staatssecretaris']
auto ; bedrijfsinformatie ; ['sleutel', 'merk', 'model', 'stadsauto', 'automerk']
auto ; klimaatverandering ; ['verkoop', 'plug-in-hybride', 'uitstoot', 'batterij', 'wagen']
auto ; milieu ; ['wagen', 'lage-emissiezone', 'klimaat', 'rapport', 'studie']
auto ; sportdiscipline ; ['race', 'wedstrijd', 'speler', 'wagen', 'snelheid']
auto ; wetenschap en technologie ; ['sleutel', 'wagen', 'bestuurder', 'fabrikant', 'firmware']
water ; weer ; ['gebied', 'vijver', 'waterstand', 'oever', 'orkaan']
water ; internationale betrekkingen ; ['visser', 'stad', 'zee', 'visserij', 'schip']
water ; dieren ; ['bos', 'boom', 'dier', 'plant', 'visser']
water ; ziekten ; ['stad', 'afval', 'bacterie', 'oog', 'vervuiling']
staal ; ziekten ; ['virus', 'mutatie', 'besmetting', 'onderzoeker', 'onderzoek']
staal ; natuurlijke hulpbronnen ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
lijn ; economie_ business en financiën ; ['bus', 'tram', 'mens', 'halte', 'vervoer']
lijn ; sportdiscipline ; ['wedstrijd', 'renner', 'sprinter', 'zilver', 'sprint']
bal ; kunst en entertainment ; ['papier', 'feest', 'zaal', 'muziek', 'dans']
bal ; sportevenement ; ['winnaar', 'wedstrijd', 'speler', 'goal', 'voetbal']
rol ; kunst en entertainment ; ['acteur', 'film', 'opname', 'carrière', 'naam']
rol ; verkiezingen ; ['voorzitter', 'coöperatie', 'president', 'politiek', 'partij']
boom ; dieren ; ['bos', 'plant', 'struik', 'vogel', 'natuurgebied']
boom ; milieuvervuiling ; ['hout', 'park', 'kerstboom', 'camera', 'verbrandingsoven']
set ; sportdiscipline ; ['ronde', 'finale', 'wedstrijd', 'punt', 'kwartfinale']
set ; kunst en entertainment ; ['acteur', 'seizoen', 'musical', 'telenovelle', 'scène']
lijst ; sport ; ['speler', 'ploeg', 'club', 'deelname', 'reserve']
lijst ; verkiezingen ; ['partij', 'land', 'president', 'kiesman', 'stem']
speler ; lifestyle en vrije tijd ; ['winnaar', 'jackpot', 'spel', 'vakantie', 'droom']
speler ; sportevenement ; ['wedstrijd', 'club', 'seizoen', 'ploeg', 'match']
spel ; vrije tijd ; ['game', 'console', 'playstation', 'controller', 'spelcomputer']
spel ; sport ; ['basketbal', 'ploeg', 'club', 'match', 'goal']
site ; wetenschap en technologie ; ['opgraving', 'vonst', 'muurschildering', 'ontdekking', 'schedel']
site ; natuurlijke hulpbronnen ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
site ; immigratie ; ['asielzoeker', 'opvangcentrum', 'opvang', 'staatssecretaris', 'privatisering']
selectie ; lifestyle ; ['fruit', 'fles', 'wijn', 'mond', 'neus']
selectie ; sport ; ['speler', 'wedstrijd', 'ploeg', 'club', 'match']
rapport ; onderwijs en opvoeding ; ['kind', 'leerkracht', 'school', 'ouder', 'expert']
rapport ; milieu ; ['klimaat', 'hout', 'soort', 'bedrijf', 'dier']
lid ; sport ; ['club', 'trainer', 'training', 'voetbal', 'club']
lid ; politiek ; ['partij', 'groep', 'president', 'verband', 'lidstaten']
glas ; gezondheid ; ['bril', 'leesbril', 'opticien', 'lezen', 'warenhuis']
glas ; economie ; ['wijn', 'fruit', 'vaatwasser', 'vaat', 'fles']
glas ; rechterlijke macht ; ['moord', 'inbraak', 'geweld', 'wagen', 'dna']
energie ; overheidsbeleid ; ['zonnepaneel', 'stroom', 'minister', 'thuisbatterij', 'elektriciteit']
energie ; samenleving ; ['kind', 'pauze', 'ouder', 'ontspanning', 'relaxatie']
suiker ; gezondheid ; ['diabetes', 'lichaam', 'ziekte', 'gewicht', 'insuline']
suiker ; human interest ; ['rum', 'eetlepel', 'wijn', 'deeg', 'recept']
single ; human interest ; ['zanger', 'nummer', 'keer', 'zangeres', 'tekst']
single ; samenleving ; ['alleenstaande', 'huur', 'woning', 'opvoeding', 'kind']
kip ; dieren ; ['dier', 'vogel', 'vogelgriep', 'virus', 'boerderij']
kip ; lifestyle en vrije tijd ; ['smaak', 'recept', 'oven', 'kruiden', 'aardappel']
kandidaat ; politiek ; ['president', 'stem', 'staat', 'verkiezing', 'voorzitter']
kandidaat ; onderwijs en opvoeding ; ['examen', 'student', 'onderwijs', 'school', 'examencommissie']
verkrachting ; misdaad ; ['moord', 'geweld', 'slachtoffer', 'meisje', 'dader']
verhaal ; school ; ['kind', 'boek', 'bus', 'school', 'lezen']
vaccinatiecampagne ; gezondheid ; ['vaccin', 'ziekte', 'dosis', 'vaccinaelektriciteittie', 'overheid']
uitbraak ; ziekten ; ['bewoner', 'besmetting', 'mutatie', 'gemeente', 'virus']
tuin ; dieren ; ['boom', 'dier', 'vogel', 'hond', 'konijn']
test ; ziekten ; ['bacterie', 'quarantaine', 'controle', 'ziekenhuis', 'patiënt']
terrein ; lifestyle en vrije tijd ; ['wandeling', 'route', 'afstand', 'knooppunt', 'moeilijkheidsgraad']
team ; sport ; ['seizoen', 'club', 'speler', 'wedstrijd', 'ploeg']
team ; wetenschap en technologie ; ['onderzoeker', 'ontdekking', 'atoom', 'studie', 'fysica']
staatssecretaris ; immigratie ; ['president', 'terugkeer', 'asielzoeker', 'verkiezing', 'procedure']
sport ; sport ; ['tennis', 'atleet', 'voetbal', 'match', 'club']
smaak ; economische sector ; ['wijn', 'fruit', 'rum', 'gin', 'fles']
slachtoffer ; demografie ; ['migrant', 'vluchteling', 'journalist', 'schadevergoeding', 'politie']
seizoen ; sportevenement ; ['club', 'wedstrijd', 'speler', 'goal', 'match']
schadevergoeding ; rampen en ongevallen ; ['fonds', 'slachtoffer', 'overweg', 'rechtbank', 'advies']
rijbewijs ; samenleving ; ['bestuurder', 'politie', 'chauffeur', 'voertuig', 'drug']
revolutie ; burgerlijke onrust ; ['land', 'protest', 'stem', 'president', 'regering']
recept ; lifestyle ; ['deeg', 'noedels', 'ingrediënt', 'oven', 'peper']
psycholoog ; wetenschap en technologie ; ['depressie', 'angst', 'verbondenheid', 'patiënt', 'probleem']
provincie ; dieren ; ['hoornaar', 'recreatiegebied', 'bewoner', 'huis', 'bewoning']
protest ; burgerlijke onrust ; ['burgeroorlog', 'land', 'revolutie', 'regering', 'burgeroorlog']
professor ; wetenschap en technologie ; ['onderzoeker', 'dosis', 'studie', 'virus', 'onderzoek']
product ; bedrijfsinformatie ; ['bedrijf', 'ondernemer', 'organisatie', 'sector', 'voorraad']
procedure ; demografie ; ['mens', 'staatssecretaris', 'registratie', 'systeem', 'fedasil']
politicus ; overheid ; ['burger', 'politiek', 'partij', 'maatregel', 'minister']
patiënt ; economie_ business en financiën ; ['ziekenhuis', 'apotheker', 'onderzoek', 'zorg', 'kinderafdeling']
park ; dieren ; ['dier', 'ezel', 'boom', 'hond', 'knop']
oven ; gezondheid ; ['aardappel', 'filodeeg', 'brie', 'spinazie', 'kip']
onderzoeker ; wetenschap en technologie ; ['mens', 'studie', 'onderzoek', 'student', 'gen']
onderzoek ; misdaad ; ['politie', 'zaak', 'parket', 'man', 'cocaïne']
netwerk ; economie_ business en financiën ; ['bedrijf', 'hacker', 'computer', 'cyberaanval', 'technologie']
muziek ; economie_ business en financiën ; ['film', 'koptelefoon', 'beeld', 'omroep', 'theater']
moord ; rechterlijke macht ; ['vrouw', 'dna', 'broek', 'man', 'proces']
mama ; familie ; ['kind', 'ziekenhuis', 'leven', 'ouder', 'moedermelk']
makelaar ; economie_ business en financiën ; ['discriminatie', 'woning', 'huis', 'huurder', 'villa']
makelaar ; sportevenement ; ['speler', 'club', 'renner', 'transfer', 'contract']
loon ; werk ; ['werknemer', 'bedrijf', 'sector', 'arbeider', 'werkgever']
liefde ; samenleving ; ['leven', 'mens', 'vrouw', 'relatie', 'kind']
leerling ; school ; ['school', 'kind', 'leerkracht', 'onderwijs', 'klas']
leerkracht ; onderwijs en opvoeding ; ['leerling', 'school', 'kind', 'onderwijs', 'klas']
landbouw ; economische sector ; ['boer', 'bedrijf', 'natuur', 'grond', 'dier']
klas ; school ; ['school', 'leerling', 'kind', 'leerkracht', 'onderwijs']
klant ; mensen ; ['mens', 'café', 'winkel', 'kapper', 'zaak']
impact ; milieu ; ['natuurgebied', 'landbouw', 'bedrijf', 'lage-emissiezone', 'boer']
hout ; milieuvervuiling ; ['boom', 'stof', 'buur', 'houtkachel', 'verbrandingsoven']
hond ; dieren ; ['dier', 'mens', 'wolf', 'baas', 'politie']
geweld ; gewapend conflict ; ['aanval', 'protest', 'groep', 'slachtoffer', 'oorlog']
elektriciteit ; internationale betrekkingen ; ['land', 'stroom', 'energie', 'brandstof', 'kerncentrale']
dier ; dieren ; ['hond', 'kat', 'wolf', 'vogel', 'bos']
deeg ; economische sector ; ['boter', 'stuk', 'rol', 'suiker', 'chip']
contract ; tewerkstelling ; ['bedrijf', 'werkloosheid', 'uitzendkracht', 'ploeg', 'seizoenarbeider']
bus ; economie_ business en financiën ; ['wagen', 'vervoer', 'halte', 'chauffeur', 'fietser']
boek ; cultuur ; ['bibliotheek', 'school', 'collectie', 'kind', 'lezer']
bier ; economie_ business en financiën ; ['brouwerij', 'smaak', 'brouwer', 'fles', 'product']
bestuurder ; dieren ; ['auto', 'agent', 'voertuig', 'getuige', 'dier']
bed ; ziekten ; ['patiënt', 'ziekenhuis', 'zorg', 'slaap', 'baby']
afval ; overheid ; ['container', 'recyclagepark', 'gemeente', 'zak', 'lozing']
advocaat ; misdaad ; ['man', 'slachtoffer', 'cliënt', 'hond', 'feit']
aankoop ; economie ; ['winkel', 'product', 'website', 'klant', 'solden']
wolf ; dieren ; ['hond', 'schaap', 'dier', 'mens', 'omheining']
wandelaar ; dieren ; ['mens', 'dier', 'hond', 'natuurgebied', 'ree']
vrachtwagen ; demografie ; ['migrant', 'vluchteling', 'politie', 'grens', 'buurt']
verkiezing ; politiek ; ['president', 'stem', 'staat', 'partij', 'land']
verbondenheid ; sociale wetenschappen ; ['buurt', 'familie', 'gezin', 'autonomie', 'gezondheid']
vennootschap ; bedrijfsinformatie ; ['bedrijf', 'faillissement', 'bewindvoerder', 'winkel', 'onderneming']
vakbond ; bedrijfsinformatie ; ['werk', 'arbeid', 'werknemer', 'ploeg', 'bedrijf']
terugkeer ; demografie ; ['mens', 'land', 'staatssecretaris', 'asiel', 'registratie']
tandarts ; economie_ business en financiën ; ['wachttijd', 'patiënt', 'praktijk', 'probleem', 'afspraak']
school ; school ; ['leerling', 'kind', 'onderwijs', 'leerkracht', 'klas']
rente ; economie ; ['bank', 'geld', 'tarief', 'rendement', 'beurs']
regering ; politiek ; ['overheid', 'minister', 'land', 'president', 'maatregel']
president ; verkiezingen ; ['verkiezing', 'staat', 'stem', 'partij', 'kiesman']
premier ; politiek ; ['land', 'partij', 'president', 'regering', 'akkoord']
politiek ; overheid ; ['politicus', 'generaal', 'regering', 'partij', 'minister']
oorlog ; conflicten_ oorlog en vrede ; ['gebied', 'wereld', 'groep', 'verzet', 'conflict']
natuurgebied ; dieren ; ['hond', 'boom', 'bos', 'gebied', 'natuur']
natuur ; natuur ; ['bos', 'hond', 'natuurgebied', 'grond', 'vogel']
moeder ; samenleving ; ['kind', 'vrouw', 'vader', 'gezin', 'dochter']
migratie ; immigratie ; ['migrant', 'land', 'asielzoeker', 'immigrant', 'vluchteling']
kerncentrale ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'kernuitstap', 'afval']
ingrediënt ; lifestyle en vrije tijd ; ['deeg', 'recept', 'eetlepel', 'water', 'noedels']
dictator ; politiek ; ['protest', 'land', 'regering', 'burgeroorlog', 'president']
dader ; misdaad ; ['politie', 'man', 'slachtoffer', 'aanslag', 'vrouw']
aardgas ; economische sector ; ['gezin', 'elektriciteit', 'nachttarief', 'radiator', 'woning']
kip ; economische sector ; ['boer', 'boerderij', 'koe', 'landbouwer', 'vee']
satelliet ; wetenschap en technologie ; ['technologie', 'ruimte', 'planeet', 'kunstmaan', 'informatie']
internet ; economie_ business en financiën ; ['misdaad', 'aanval', 'cyberaanval', 'cybercrimineel', 'sleutel']
bril ; samenleving ; ['gerecht', 'geweld', 'uitbuiting', 'bestuur', 'politie']
windturbine ; economie ; ['minister', 'president', 'adviseur', 'benoeming', 'zaak']
windturbine ; misdaad_ recht en justitie ; ['rekening', 'geld', 'slachtoffer', 'dader', 'geweld']
windturbine ; human interest ; ['olijfolie', 'eetlepel', 'oven', 'recept', 'bakker']
supermarkt ; verkiezingen ; ['partij', 'mens', 'president', 'verkiezing', 'politicus']
kerk ; onderwijs en opvoeding ; ['banaan', 'boter', 'suiker', 'recept', 'keuken']
windturbine ; lifestyle ; ['bier', 'groente', 'vlees', 'fruit', 'gerecht']
natuur ; economie_ business en financiën ; ['misdaad', 'aanval', 'cyberaanval', 'cybercrimineel', 'sleutel']
zorgbedrijf ; rechterlijke macht ; ['collaborateur', 'geweld', 'oorlog', 'nazi', 'slachtoffer']
cybercrimineel ; economie ; ['vaatwasser', 'vaat', 'afwas', 'kuis', 'reinigingsmiddel']
cybercrimineel ; onderwijs en opvoeding ; ['school', 'leerling', 'onderwijs', 'minister', 'toestel']
televisie ; misdaad_ recht en justitie ; ['geld', 'bank', 'slachtoffer', 'bedrag', 'lening']
vaat ; lifestyle en vrije tijd ; ['huis', 'brand', 'brandweer', 'slachtoffer', 'herenhuis']
zon ; overheidsbeleid ; ['media', 'minister', 'artikel', 'klacht', 'journalist']
gerecht ; human interest ; ['vakantie', 'zee', 'water', 'zon', 'strand']
draad ; lifestyle en vrije tijd ; ['banaan', 'ingrediënt', 'boter', 'aardappel', 'recept']
cybercrimineel ; politiek ; ['woning', 'huur', 'huisvestingsmaatschappij', 'verhuurkantoor', 'verhuurder']
wandelaar ; natuurlijke hulpbronnen ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
symptoom ; kunst en entertainment ; ['lepel', 'bord', 'chef', 'vlees', 'keuken']
voetbal ; wetten en rechten ; ['politie', 'computer', 'bedrijf', 'quarantaine', 'cybercrimineel']
belegging ; natuurwetenschappen ; ['planeet', 'zon', 'zonnestelsel', 'exoplaneet', 'ster']
lepel ; wetenschap en technologie ; ['technologie', 'ruimte', 'planeet', 'kunstmaan', 'informatie']
politie ; economie ; ['wijn', 'fruit', 'vaatwasser', 'vaat', 'fles']
politie ; lifestyle ; ['plant', 'tuin', 'groente', 'landbouw', 'teelt']
advocaat ; lifestyle ; ['vitamine', 'immuunsysteem', 'cel', 'indringer', 'ziekte']
afval ; economie ; ['huurinkomst', 'inkomen', 'basis', 'quarantaine', 'kaart']
afval ; mensen ; ['liefde', 'schat', 'huwelijk', 'koppel', 'trouw']
afval ; misdaad ; ['moord', 'pak', 'seriemoordenaar', 'bank', 'rekening']
afval ; verkiezingen ; ['president', 'macht', 'stem', 'staat', 'advocaat']
theater ; lifestyle en vrije tijd ; ['wandelaar', 'fiets', 'koffie', 'kapel', 'kaars']
theater ; mensen ; ['jeugdhuis', 'schat', 'huwelijk', 'koppel', 'trouw']
theater ; ongeval ; ['ongeval', 'straf', 'wagen', 'avond', 'vluchtmisdrijf']
theater ; economie ; ['lening', 'verzekering', 'verbod', 'vuurwerk', 'woonlening']
huwelijk ; internationale betrekkingen ; ['landbouwer', 'stikstof', 'natuur', 'fietser', 'landbouwweg']
huwelijk ; onderwijs en opvoeding ; ['banaan', 'ingrediënt', 'boter', 'gewicht', 'recept']
huwelijk ; ongeval ; ['zaakvoerder', 'arbeidsongeval', 'gebrek', 'veiligheid', 'ongeval']
huwelijk ; vrije tijd ; ['vogel', 'natuurgebied', 'natuur', 'watervogel', 'plek']
exoplaneet ; economie ; ['wijn', 'fruit', 'fles', 'tannines', 'neus']
exoplaneet ; ongeval ; ['zaakvoerder', 'arbeidsongeval', 'gebrek', 'veiligheid', 'ongeval']
exoplaneet ; economie, business en financiën ; ['bestuurder', 'wagen', 'fietser', 'reactor', 'vrachtwagen']
exoplaneet ; milieu ; ['brand', 'bever', 'natuurgebied', 'lage-emissiezone', 'opwarming']
been ; lifestyle en vrije tijd ; ['banaan', 'ingrediënt', 'boter', 'gewicht', 'recept']
been ; massamedia ; ['seizoen', 'acteur', 'reeks', 'actrice', 'scène']
bever ; overheidsbeleid ; ['akkoord', 'stap', 'vakbond', 'zorgsector', 'premie']
bever ; verkiezingen ; ['president', 'verkiezing', 'partij', 'aanklager', 'staat']
zorgsector ; kunst en entertainment ; ['master', 'muziek', 'plaat', 'album', 'auteursrecht']
pleister ; lifestyle en vrije tijd ; ['game', 'console', 'playstation', 'controller', 'spelcomputer']
pleister ; milieu ; ['brand', 'bever', 'natuurgebied', 'lage-emissiezone', 'opwarming']
pleister ; weerfenomeen ; ['sneeuw', 'maximum', 'bui', 'centrum', 'wind']
pleister ; sport ; ['start', 'team', 'organisator', 'parcours', 'atleet']
bestuur ; economie ; ['vaatwasser', 'vaat', 'reinigingsmiddel', 'servies', 'glas']
bier ; gezondheid ; ['immuunsysteem', 'cel', 'vurus', 'indringer', 'ziekte']
bier ; internationale betrekkingen ; ['landbouwer', 'stikstof', 'natuur', 'boer', 'staat']
bier ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'doel', 'afval']
boer ; misdaad ; ['moord', 'pak', 'seriemoordenaar', 'bank', 'rekening']
bier ; pensioen ; ['studiejaar', 'pensioen', 'premie', 'belasting', 'tarief']
boete ; onderwijs en opvoeding ; ['opleiding', 'onderwijs', 'examen', 'les', 'docent']
brief ; lifestyle ; ['huid', 'haar', 'zone', 'sessie', 'laser']
bus ; lifestyle en vrije tijd ; ['banaan', 'ingrediënt', 'boter', 'gewicht', 'recept']
bus ; ongeval ; ['zaakvoerder', 'arbeidsongeval', 'gebrek', 'veiligheid', 'ongeval']
